sentence_count,avg_sentence_length,avg_word_length,type_token_ratio,hapax_legomena_ratio,punctuation_density,comma_density,period_density,word_length_std,flesch_reading_ease,flesch_kincaid_grade,stopword_ratio,contraction_ratio,avg_syllables_per_word,long_word_ratio,passive_voice_hits,label
11.0,25.90909090909091,5.129824561403509,0.6210526315789474,0.4842105263157895,0.020247469066366704,1.9090909090909092,1.0,2.866746117561622,35.0846411483254,14.802264752791071,0.4,0.0035087719298245615,1.719298245614035,0.3017543859649123,0.2727272727272727,0
15.0,19.8,4.700336700336701,0.49158249158249157,0.30976430976430974,0.01861547411285631,0.8,1.0,2.405332156325978,59.69557575757577,9.851865319865322,0.45454545454545453,0.003367003367003367,1.5016835016835017,0.19528619528619529,0.0,0
16.0,23.6875,4.965699208443271,0.5145118733509235,0.3641160949868074,0.025376344086021504,1.8125,0.9375,2.536568480492156,45.95894211741427,12.733613126649079,0.45118733509234826,0.0,1.6174142480211082,0.2717678100263852,0.125,1
16.0,18.875,5.086092715231788,0.4900662251655629,0.3211920529801324,0.044377206253151794,1.25,1.0,3.594404034365754,33.88415976821193,13.222243377483448,0.32450331125827814,0.0,1.8178807947019868,0.3211920529801324,0.25,1
16.0,16.75,4.888059701492537,0.5111940298507462,0.35074626865671643,0.017456359102244388,0.75,0.9375,2.4606164976839726,63.88076492537316,8.510410447761199,0.458955223880597,0.0,1.4888059701492538,0.27611940298507465,0.0,0
11.0,21.545454545454547,4.3924050632911396,0.5147679324894515,0.3291139240506329,0.02375478927203065,1.8181818181818181,1.0,2.365813415851756,64.31319907940163,9.641419255849637,0.5147679324894515,0.0,1.4261603375527425,0.20675105485232068,0.0,0
21.0,13.761904761904763,4.1522491349480966,0.5397923875432526,0.328719723183391,0.029792746113989636,0.7142857142857143,1.0,2.324311884674631,78.70057670126876,5.701018289668813,0.4844290657439446,0.0,1.3494809688581315,0.17301038062283736,0.09523809523809523,1
16.0,22.6875,6.349862258953168,0.6336088154269972,0.4986225895316804,0.01955719557195572,1.1875,1.0,3.1625248365679197,5.750989152892572,18.09338670798898,0.31129476584022037,0.0,2.1046831955922864,0.5013774104683195,0.125,0
15.0,16.066666666666666,5.2946058091286305,0.5850622406639004,0.43983402489626555,0.022551546391752577,1.0666666666666667,1.0,2.6150561409933757,45.197872752420494,10.946539419087134,0.37344398340248963,0.004149377593360996,1.7178423236514522,0.31950207468879666,0.06666666666666667,1
19.0,19.263157894736842,6.251366120218579,0.6202185792349727,0.4726775956284153,0.02654867256637168,1.5789473684210527,1.0,3.194459991367522,6.756665228645403,17.102412999712396,0.2978142076502732,0.0,2.133879781420765,0.4808743169398907,0.3157894736842105,0
20.0,18.95,5.403693931398417,0.5593667546174143,0.43007915567282323,0.07643312101910828,1.2,1.0,3.36175715318368,23.758005936675488,14.653270448548813,0.3403693931398417,0.002638522427440633,1.9366754617414248,0.39313984168865435,0.55,0
20.0,18.95,5.588390501319261,0.5488126649076517,0.39841688654353563,0.021392454297938544,0.95,1.0,2.9318508018917973,27.552728891820607,14.123982849604221,0.3562005277044855,0.0,1.891820580474934,0.37467018469656993,0.25,1
22.0,16.59090909090909,4.8273972602739725,0.4575342465753425,0.2821917808219178,0.02927927927927928,0.9090909090909091,1.0,3.1055081543893577,48.60892590286426,10.601002490660026,0.39452054794520547,0.0,1.6712328767123288,0.28493150684931506,0.09090909090909091,1
24.0,14.958333333333334,5.133704735376044,0.5626740947075209,0.403899721448468,0.019546868058640605,0.5833333333333334,1.0,2.976033409476947,44.839478296193164,10.721187325905294,0.40947075208913647,0.0,1.7353760445682451,0.3286908077994429,0.125,1
15.0,23.733333333333334,5.634831460674158,0.5842696629213483,0.4297752808988764,0.051819620253164556,2.3333333333333335,1.0,3.0660006201981056,22.813644194756563,15.973303370786518,0.31179775280898875,0.0,1.8904494382022472,0.37640449438202245,0.6,0
20.0,16.65,6.123123123123123,0.6006006006006006,0.4774774774774775,0.049397121742512644,1.85,1.0,3.26780268532941,13.621736486486498,15.495692192192195,0.35435435435435436,0.003003003003003003,2.084084084084084,0.42042042042042044,0.15,0
16.0,21.125,5.689349112426036,0.6005917159763313,0.44970414201183434,0.043789473684210524,1.5625,1.0,3.3051786767467055,16.693716715976336,16.1789275147929,0.31952662721893493,0.0029585798816568047,1.9940828402366864,0.4260355029585799,0.3125,0
