,accuracy,precision,recall,f1
SVM,0.9798288508557457,0.9804161566707467,0.9792176039119804,0.9798165137614679
Decision Tree,0.9150366748166259,0.9145299145299145,0.9156479217603912,0.9150885766646304
AdaBoost,0.9480440097799511,0.9442424242424242,0.9523227383863081,0.9482653682288497
FNN (MLP),0.991442542787286,0.9878640776699029,0.9951100244498777,0.9914738124238733
